invoice_no,customer_id,category,quantity,price,invoice_date,shopping_mall
I140051,C286808,Toys,5,179.2,23-02-2023,Kanyon
I884671,C162069,Souvenir,4,46.92,2022-05-20,Istinye Park
I179948,C214362,Food & Beverage,5,26.15,09-09-2022,Kanyon
I429020,C843142,Clothing,5,1500.4,20-11-2022,Mall of Istanbul
I305866,C234835,Clothing,5,1500.4,19-03-2022, METROCITY 
I162737,C189528,Food & Beverage,5,$26.15,2022-11-26,Cevahir AVM
I211262,C106280,Technology,2,2100.0,28-10-2022,Metrocity
I304685,C705040,Clothing,,600.16,12-11-2021,Kanyon
I312849,C202471,Clothing,3,900.24,16-01-2022, KANYON 
I184093,C302635,Toys,1,35.84,Oct 09 2021,Forum Istanbul
I220302,C144213,Clothing,1,300.08,03-05-2022,Cevahir AVM
I173064,C212975,Books,5,75.75,11-10-2021,Istinye Park
I251374,C170548,Shoes,3,1800.51,20-09-2022,Cevahir AVM
I244105,C568047,Cosmetics,5,203.3,03-03-2021,Metrocity
I150570,C293602,Food & Beverage,1,5.23,10-09-2022,Forum Istanbul
I168812,C105655,Clothing,2,600.16,28-01-2023,Cevahir AVM
I356010,C750477,Food & Beverage,4,20.92,2022-06-22,Kanyon
I338896,C311411,Food & Beverage,4,20.92,15-02-2021,Metrocity
I209933,C313283,Souvenir,2,23.46,02-22-2023,Forum Istanbul
I384409,C227090,Toys,1,35.84,31-07-2021,Istinye Park
I203140,C122398,Clothing,4,1200.32,09-04-2021,Mall of Istanbul
I157772,C146928,Shoes,3,1800.51,May 05 2021,Metropol AVM
I289001,C300262,Souvenir,3,35.19,02.05.2021,Mall of Istanbul
I153167,C193800,Clothing,2,600.16,07-09-2022,Metrocity
I323790,C212937,Shoes,5,3000.85,16-10-2021,Zorlu Center
I286316,C111762,Shoes,4,2400.68,10-09-2022,Metrocity
I111715,C320602,Food & Beverage,5,26.15,26-08-2022,Emaar Square Mall
I234938,C244383,Toys,3,107.52,09-04-2021,Metrocity
I260252,C695708,Clothing,3,900.24,24-06-2021,Mall of Istanbul
I266612,C319220,Toys,4,143.36,09-01-2023,Metropol AVM
I529031,C237400,Books,2,30.3,06/08/2022, CEVAHIR AVM 
I384943,C266410,Shoes,3,1800.51,11-05-2022,Metrocity
I238842,C183243,,4,4200.0,08.09.2022,Kanyon
I236596,C159468,Shoes,4,2400.68,09-05-2021,Zorlu Center
I189963,C318880,Toys,2,71.68,31-05-2022,Kanyon
I316877,C685313,food & beverage,4,20.92,08-09-2021,Mall of Istanbul
I324867,C996007,COSMETICS,1,40.66,08-10-2021,Metropol AVM
I561513,C122872,Toys,2,71.68,10-06-2022,Istinye Park
I112262,C170278,Books,3,45.45,Jul 15 2021,Istinye Park
I199315,C982387,Clothing,3,"900,24",06-02-2021,Metropol AVM
I231543,C316690,Cosmetics,1,40.66,07-11-2021,Kanyon
I283713,C154946,Cosmetics,5,203.3,19-05-2022,Cevahir AVM
I272770,C126318,Clothing,5, 1500.4 ,07-02-2022,Metrocity
I432441,C241079,Food & Beverage,4,20.92,15-08-2021,Cevahir AVM
I112900,C273375,clothing,2,600.16,03-11-2022, MALL OF ISTANBUL 
I299421,C245298,Cosmetics,4,162.64,14-06-2022,Kanyon
I129409,C352555,Clothing,4,1200.32,13-05-2021,Cevahir AVM
I389293,C409462,Toys,3,$107.52,15-08-2022,Kanyon
I501263,C165925,Clothing,3, 900.24 ,10-17-2021,Cevahir AVM
I234673,C245349,Food & Beverage,4,20.92,08-07-2021,Metropol AVM
I430493,C332650,Souvenir,5,58.65,21-05-2021, KANYON 
I720651,C293253,Cosmetics,4,162.64,12-05-2021,Kanyon
I120101,C182151,Souvenir,3,35.19,04-03-2021,
I114115,C722854,Clothing,3,900.24,21-09-2022, KANYON 
I235155,C334618,Clothing,4,1200.32,13-03-2022,Metrocity
I321305,C803041,Food & Beverage,2,10.46,22-03-2022,Mall of Istanbul
I484832,C236847,Books,1,15.15,19-03-2022,Emaar Square Mall
I961000,C323568,Clothing,2,600.16,03-12-2021,Mall of Istanbul
I191650,C264946,Food & Beverage,2,10.46,20-10-2022,Metrocity
I424826,C151389,Toys,5,179.2,12-08-2022,Metropol AVM
I122613,C249432,Toys,5,179.2,26-11-2022,Cevahir AVM
I207271,C126642,Clothing,5,1500.4,01-04-2021,Istinye Park
I339442,C555140,Cosmetics,1,40.66,2021-08-08,Metropol AVM
I304471,C181907,Clothing,1,300.08,16-07-2022,Metropol AVM
I697057,C222591,Food & Beverage,4,20.92,16-11-2021,Mall of Istanbul
I137514,C418876,Clothing,3,900.24,13-10-2022,Kanyon
I328787,C123470,TOYS,1, 35.84 ,23-01-2022,Viaport Outlet
I275295,C233836,Clothing,5,1500.4,22-05-2022,Kanyon
I134800,C109848,  Clothing  ,4,1200.32,19-09-2021,Istinye Park
I944606,C872534,Clothing,5,1500.4,01-03-2023,Kanyon
I101549,C311614,Toys,3,107.52,20-07-2021,Zorlu Center
I182980,C113157,Food & Beverage,5,26.15,20-10-2022,Kanyon
I247843,C496256,Cosmetics,3,121.98,17-11-2021,Metrocity
I132948,C432750,Cosmetics,2,81.32,19-05-2021,Kanyon
I644677,C198854,Clothing,5,1500.4,Dec 15 2022,Metropol AVM
I291686,C641889,Clothing,4,1200.32,08-02-2022,Mall of Istanbul
I536909,C283903,Clothing,5,1500.4,08-31-2022,Metropol AVM
I244995,C337371,Clothing,3,900.24,04-10-2022, METROCITY 
I185316,C228532,Souvenir,1,11.73,05-30-2022,Zorlu Center
I253984,C257208,,1,"300,08",01-06-2022,Viaport Outlet
I101594,C117752,  Shoes  ,3,1800.51,08-08-2021,Cevahir AVM
I323413,C266213,Clothing,1,300.08,2022-01-09,Kanyon
I163342,C155176,Clothing,2,600.16,17-12-2021,Metrocity
I154909,C316420,Souvenir,4,46.92,09-09-2021,Kanyon
I188683,C108815,Clothing,5,1500.4,20-10-2021,Emaar Square Mall
I275619,C118998,Cosmetics,5,203.3,12/02/2023,Kanyon
I101670,C584201,,1,300.08,02-02-2021, METROPOL AVM 
I240827,C327233,Toys,5,179.2,08-05-2022,Metropol AVM
I785035,C293895,Toys,3,107.52,11/02/2022,Kanyon
I461605,C132151,Toys,3,107.52,15-09-2022,Metrocity
I298788,C237924,Clothing,1,300.08,14-01-2021,Metrocity
I680868,C150572,Clothing,5,1500.4,Nov 20 2022,Metropol AVM
I351954,C551565,Food & Beverage,4,20.92,22-05-2021,Mall of Istanbul
I211409,C234927,Clothing,1,300.08,08/10/2021,Kanyon
I909434,C158586,Clothing,5,1500.4,11-06-2022,Istinye Park
I512591,C148373,Food & Beverage,3,15.69,Jan 31 2021,Kanyon
I195516,C440398,food & beverage,4,20.92,01-04-2021, KANYON 
I139175,C174109,Cosmetics,4,162.64,16-09-2021,Zorlu Center
I108467,C268751,Clothing,3,900.24,2022-02-10,Viaport Outlet
I745049,C299751,Clothing,4,1200.32,17-11-2021,Kanyon
I570465,C303259,Clothing,,300.08,2021-01-20,Cevahir AVM
I164738,C180162,Souvenir,2,23.46,17-09-2021,Metropol AVM
I210802,C240806,shoes,1,600.17,28-01-2023,Emaar Square Mall
I317196,C103503,Toys,1,35.84,11-10-2022,Kanyon
I461248,C392100,Clothing,3,900.24,17-07-2022,Mall of Istanbul
I506547,C200329,Cosmetics,4,162.64,26-01-2023,Istinye Park
I158914,C129546,Clothing,4,1200.32,Jun 04 2022,Mall of Istanbul
I265646,C212310,Shoes,3,1800.51,03-05-2021,Mall of Istanbul
I312080,C333994,Food & Beverage,1,5.23,03-01-2021,Kanyon
I267608,C150457,Food & Beverage,3,15.69,21.07.2021,Kanyon
I283308,C329657,Shoes,3,1800.51,22-12-2021,Mall of Istanbul
I317622,C237909,Books,3,45.45,04-07-2021,Emaar Square Mall
I508134,C448518,Clothing,5,1500.4,22-07-2021,Metropol AVM
I115299,C283739,Clothing,4,1200.32,23-05-2022,Istinye Park
I283983,C253944,Cosmetics,1,40.66,22-11-2021,Metrocity
I305566,C181450,BOOKS,4,60.6,06-05-2022,Metrocity
I637022,C255723,Souvenir,1,11.73,30-01-2021,Cevahir AVM
I199773,C953972,Clothing,4,1200.32,26-04-2021,Metrocity
I217532,C236682,,3,900.24,10-04-2022,Istinye Park
I325934,C145584,Cosmetics,5,203.3,13-10-2021,Metrocity
I946746,C294290,Books,4,60.6,09/02/2022,Istinye Park
I255305,C133996,Technology,4,4200.0,12-12-2021,Mall of Istanbul
I119708,C185855,Food & Beverage,4,20.92,05-12-2022,Forum Istanbul
I918423,C889562,Food & Beverage,1,5.23,13-12-2021,Metropol AVM
I231548,C307822,Food & Beverage,1,5.23,21-02-2022,Cevahir AVM
I335771,C276345,Souvenir,2,23.46,15-08-2022,Istinye Park
I150542,C224941,Clothing,2,600.16,15.06.2022,Zorlu Center
I289736,C131382,Food & Beverage,1,5.23,12-06-2021,Viaport Outlet
I268172,C270215,Food & Beverage,5,26.15,13-10-2021,Metropol AVM
I563891,C415239,Cosmetics,3,121.98,24-07-2021,
I604221,C227796,Food & Beverage,3,15.69,21-11-2021,Cevahir AVM
I963325,C211451,Food & Beverage,3,15.69,07-10-2022,Mall of Istanbul
I713663,C156181,Clothing,2,600.16,06-06-2021,Cevahir AVM
I116562,C250763,Clothing,4,1200.32,06-03-2022,Mall of Istanbul
I117191,C118116,Clothing,5,1500.4,11-06-2021,Emaar Square Mall
I229628,C391926,Souvenir,,58.65,24-09-2021,Forum Istanbul
I162163,C223172,Books,5,-75.75,11-08-2022,Kanyon
I222204,C221423,Cosmetics,5,203.3,25-01-2022,Emaar Square Mall
I168175,C312139,Clothing,1,300.08,Jan 10 2022,Metropol AVM
I416703,C272662,Cosmetics,2,81.32,28-01-2023,Mall of Istanbul
I112751,C126874,Food & Beverage,1,$5.23,17-07-2021,Mall of Istanbul
I247921,C321714,Toys,3,107.52,20-10-2022,Metropol AVM
I133571,C159974,Technology,3,3150.0,26-07-2021,Emaar Square Mall
I115830,C846775,Clothing,5,1500.4,16-01-2023,Metropol AVM
I187716,C170093,Cosmetics,4,162.64,29-11-2022,Mall of Istanbul
I334099,C277521,Cosmetics,1,40.66,03-03-2023,Kanyon
I575354,C114627,Clothing,4,1200.32,28-06-2021,Metrocity
I304554,C193495,Food & Beverage,1,5.23,06-11-2021,Emaar Square Mall
I314443,C224350,Clothing,5,1500.4,12/01/2023,Mall of Istanbul
I217832,C331212,Clothing,5,1500.4,10-10-2021,Metropol AVM
I625749,C202574,Food & Beverage,1,5.23,29-12-2022,Viaport Outlet
I151939,C194062,Clothing,0,1200.32,2021-07-05,Mall of Istanbul
I297737,C332902,Shoes,3,1800.51,04-08-2022,Kanyon
I163212,C247420,Toys,1,35.84,05/02/2023,Emaar Square Mall
I180006,C578834,Toys,5,179.2,24-10-2022,Kanyon
I672825,C169988,Cosmetics,5,203.3,22-11-2021,Istinye Park
I215201,C180154,CLOTHING,4,1200.32,09-02-2022,Kanyon
I134166,C254908,Cosmetics,5,203.3,12-08-2022,Mall of Istanbul
I144413,C288772,Clothing,1,300.08,31-07-2021,Forum Istanbul
I321021,C259911,Clothing,5,1500.4,30-01-2022,
I248179,C218998,Clothing,3,900.24,31-10-2022,Mall of Istanbul
I877956,C162910,Toys,2,71.68,18-06-2021,Istinye Park
I295595,C138656,Food & Beverage,2,10.46,28-05-2021,Cevahir AVM
I119012,C142023,Clothing,3,900.24,30-01-2022,Kanyon
I794678,C228504,Clothing,4,$1200.32,28-02-2023,Mall of Istanbul
I224887,C734641,Clothing,2,600.16,18-01-2022,Metrocity
I314653,C160951,Technology,2,2100.0,22-06-2021,Istinye Park
I242183,C456065,Shoes,5,3000.85,23-05-2021,Mall of Istanbul
I118935,C790473,Clothing,2,600.16,17-03-2022,Zorlu Center
I296322,C897815,Clothing,3,900.24,03-01-2021,Metrocity
I999852,C180131,Souvenir,5,58.65,20-06-2021,Metropol AVM
I264690,C284233,Clothing,5,1500.4,09-06-2022,Metrocity
I209906,C288506,Shoes,4,2400.68,03-01-2023,Mall of Istanbul
I611880,C185761,Cosmetics,4,162.64,19-10-2022,Forum Istanbul
I389935,C228601,Clothing,5,1500.4,17-12-2021,Mall of Istanbul
I186569,C119876,Toys,1,35.84,31-08-2022,Kanyon
I247888,C158844,Clothing,5,1500.4,03-03-2023,Viaport Outlet
I176749,C111475,Clothing,5,1500.4,24-11-2021,Kanyon
I228922,C171790,Food & Beverage,3,15.69,14/01/2023,Istinye Park
I884338,C103303,Food & Beverage,4,20.92,20-07-2021,Kanyon
I249161,C159911,Food & Beverage,1,5.23,25-02-2022,Metrocity
I124085,C111197,Cosmetics,5,203.3,17-11-2021,Kanyon
I149982,C120270,Food & Beverage,4,20.92,14-09-2022,Mall of Istanbul
I219164,C153818,Toys,3,107.52,05-03-2021,
I302421,C719418,Clothing,3,900.24,22-05-2021,Metrocity
I265509,C960376,Shoes,5,3000.85,16-01-2022,Metrocity
I124903,C251936,Cosmetics,2,81.32,01-09-2022,Kanyon
I171876,C305462,Clothing,4,1200.32,2022-08-21,Zorlu Center
I176975,C923166,Cosmetics,1,40.66,27-02-2023,Metropol AVM
I121500,C639715,Cosmetics,5,203.3,25-02-2023,Metrocity
I311437,C128143,Food & Beverage,2,10.46,06-11-2022,Metrocity
I316247,C296715,Clothing,4,1200.32,04-10-2022,Metrocity
I322606,C598851,Cosmetics,1,40.66,2022-11-15,Mall of Istanbul
I464136,C724951,Cosmetics,3,121.98,15-09-2021,Mall of Istanbul
I132617,C202084,Clothing,five,900.24,Jul 28 2021,Metrocity
I277177,C703970,Food & Beverage,3,15.69,12-02-2022,Mall of Istanbul
I222848,C479419,Clothing,4, 1200.32 ,17-12-2021,Cevahir AVM
I503189,C999001,Toys,5,179.2,24-06-2022,Zorlu Center
I381029,C244784,Clothing,5,1500.4,12/01/2023,Forum Istanbul
I341162,C202164,Souvenir,4,46.92,18.10.2022,Kanyon
I858019,C221306,Books,5,75.75,29-04-2022,Mall of Istanbul
I226140,C999293,Books,3,45.45,14-02-2023,Mall of Istanbul
I293091,C522337,Shoes,2,1200.34,2021-09-19,Metrocity
I556236,C167731,Clothing,3,900.24,21-11-2021,Istinye Park
I116083,C843827,Toys,4,143.36,2021-05-22,Mall of Istanbul
I943087,C293389,Cosmetics,1,40.66,04.07.2021,Forum Istanbul
I190254,C174210,Technology,3,3150.0,03-04-2022,Kanyon
I245087,C244621,Souvenir,1,11.73,24-03-2022, ZORLU CENTER 
I256215,C146314,Cosmetics,5,203.3,28-03-2021,Emaar Square Mall
I409634,C313045,clothing,5,1500.4,21-05-2021,Emaar Square Mall
I246090,C664482,Shoes,5,3000.85,27-12-2022,Metropol AVM
I335930,C343729,Technology,5,5250.0,20-05-2022,Kanyon
I468017,C926947,Souvenir,1,11.73,04-05-2021,Viaport Outlet
I968682,C187905,Clothing,3,900.24,30-09-2022,Metrocity
I107593,C238272,Cosmetics,4,162.64,12-11-2022,Cevahir AVM
I220757,C281388,Food & Beverage,5,26.15,2022-11-19,Zorlu Center
I246525,C218754,toys,4,143.36,2022-02-03,
I728736,C780038,Cosmetics,1,40.66,04/08/2021,Mall of Istanbul
I111032,C511327,Books,4,60.6,03-09-2022,Metrocity
I261562,C280230,Food & Beverage,1,$5.23,14-07-2022,Zorlu Center
I761540,C216632,Food & Beverage,4,20.92,04-03-2023,Cevahir AVM
I230142,C126919,Toys,4,143.36,01-17-2022,Metrocity
I265240,C781906,Toys,3,107.52,29-01-2022,Mall of Istanbul
I289228,C204134,Shoes,3,1800.51,23/12/2021,Metropol AVM
I549575,C127784,Food & Beverage,3,15.69,31-08-2021,Istinye Park
I265512,C587328,Souvenir,4,$46.92,18-11-2022,Mall of Istanbul
I323647,C874898,Clothing,2,600.16,05-11-2021,Zorlu Center
I332319,C317945,Clothing,3,900.24,09-05-2022,Metrocity
I439596,C263695,Souvenir,1,11.73,16-02-2022,
I698178,C256567,Clothing,1,300.08,02-04-2021,Mall of Istanbul
I317648,C160002,Cosmetics,4,162.64,Dec 07 2022, KANYON 
I109018,C328169,Toys,3,107.52,09-07-2021,Metropol AVM
I946217,C239392,Toys,3,107.52,Mar 24 2022,Metrocity
I292375,C607501,Souvenir,5,58.65,17-05-2021,Metrocity
I330254,C217935,Toys,1,35.84,06-08-2021,Metrocity
I678964,C267594,Clothing,1,300.08,Feb 08 2022,Viaport Outlet
I123784,C869196,Clothing,4,1200.32,12-04-2022,Kanyon
I169204,C160190,Toys,4,143.36,19-12-2021,Kanyon
I100445,C307576,Clothing,1,300.08,02.11.2021,Istinye Park
I219316,C740172,cosmetics,2,81.32,20/12/2021,Forum Istanbul
I302223,C155741,Toys,4,143.36,10-10-2021,Mall of Istanbul
I307239,C954076,Shoes,2,1200.34,13-03-2021,Zorlu Center
I232395,C205688,Clothing,1,300.08,10-07-2021,Istinye Park
I333951,C938781,Cosmetics,2,81.32,07-04-2022,Metrocity
I187779,C176267,Toys,1, 35.84 ,18-07-2021,Kanyon
I292064,C177689,,3,107.52,22-02-2022,Kanyon
I162575,C950351,Books,2,30.3,19-11-2021,Viaport Outlet
I100501,C338282,Technology,1,1050.0,31-08-2021,Metrocity
I286759,C263971,Technology,4,4200.0,07-02-2023,Metrocity
I126342,C302663,Food & Beverage,3,15.69,09-11-2021,Metrocity
I738389,C100403,Clothing,5,1500.4,09-10-2022,Forum Istanbul
I160591,C143752,Cosmetics,3,121.98,06.02.2021,Istinye Park
I159233,C167409,Clothing,2,600.16,17-04-2021,Zorlu Center
I226777,C995942,Food & Beverage,5,26.15,08-05-2022,Viaport Outlet
I198733,C294130,Food & Beverage,5,26.15,19-02-2021,Metropol AVM
I142815,C956722,Toys,4,143.36,2021-04-12,Mall of Istanbul
I237181,C250807,Technology,5,5250.0,30/06/2022,Mall of Istanbul
I117899,C136984,Food & Beverage,,5.23,Dec 29 2021,Viaport Outlet
I781475,C267268,Cosmetics,1,40.66,16-06-2021,Metrocity
I282504,C299898,Clothing,4,1200.32,19-08-2022,Istinye Park
I298315,C301333,Clothing,2,600.16,01-05-2022,Forum Istanbul
I555491,C536112,Shoes,3,1800.51,23.04.2021,
I249949,C112229,Shoes,2,1200.34,10-01-2023,Mall of Istanbul
I282166,C918734,Clothing,5,1500.4,09-07-2021,Istinye Park
I531514,C392957,Food & Beverage,4,20.92,01-05-2023,Istinye Park
I180783,C856936,Clothing,1,300.08,26-01-2021,Kanyon
I661353,C144605,Clothing,,900.24,May 30 2022,Viaport Outlet
I102714,C182058,Clothing,3,900.24,04-03-2021,Mall of Istanbul
I130117,C330127,Toys,2,71.68,01-03-2022,Cevahir AVM
I293617,C100713,Technology,3,3150.0,2023-01-13,
I113140,C235030,Clothing,5,1500.4,07-02-2021,Zorlu Center
I131914,C283898,Shoes,2,1200.34,08-25-2022,Kanyon
I575970,C216034,Shoes,4,2400.68,04-01-2022,Metropol AVM
I109776,C276615,Books,5,75.75,23-05-2021,Kanyon
I118369,C558913,Clothing,5,1500.4,09-05-2022,Mall of Istanbul
I176034,C234486,Clothing,5,1500.4,20-03-2021,Mall of Istanbul
I309319,C295379,SHOES,3,1800.51,2023-01-11,Mall of Istanbul
I305614,C687327,Clothing,3,900.24,08-10-2021,Metropol AVM
I248155,C290987,BOOKS,1,15.15,20-03-2022,Kanyon
I182254,C184321,Books,2,30.3,14-03-2022,Mall of Istanbul
I306867,C906594,CLOTHING,5,1500.4,2021-05-15,Istinye Park
I292573,C261741,Cosmetics,2,81.32,01-08-2021,Metropol AVM
I158015,C126077,Clothing,3,900.24,Nov 13 2021,Metropol AVM
I102276,C137086,Cosmetics,2,81.32,30-03-2022,Istinye Park
I141292,C270840,Clothing,1,300.08,12-04-2022,Cevahir AVM
I119253,C140418,Shoes,3,1800.51,14-08-2021,Kanyon
I158979,C302773,Cosmetics,3,121.98,05-04-2022,Emaar Square Mall
I236908,C160141,Clothing,4,1200.32,01-12-2021,Istinye Park
I250310,C336660,Food & Beverage,5,26.15,03-06-2022,Cevahir AVM
I348120,C793466,Clothing,2, 600.16 ,Oct 11 2022,Viaport Outlet
I105287,C170132,Souvenir,4,46.92,03-04-2021,Zorlu Center
I229653,C499564,Clothing,3,900.24,15-01-2022,Zorlu Center
I313138,C270304,Food & Beverage,3,15.69,26-12-2022,Metropol AVM
I180403,C176829,Clothing,3,900.24,03-03-2023,Metropol AVM
I321852,C134562,cosmetics,4,162.64,26-01-2022,Forum Istanbul
I295973,C174498,Food & Beverage,1, 5.23 ,07-09-2022,Metropol AVM
I176069,C304967,Food & Beverage,2,10.46,29-06-2022,Forum Istanbul
I482113,C733505,Clothing,?,"300,08",02-04-2021,Zorlu Center
I220934,C274101,Clothing,1,300.08,11-02-2021,Cevahir AVM
I121573,C124311,Toys,2,71.68,01-04-2022,Zorlu Center
I701524,C109312,CLOTHING,3,900.24,01/12/2021,Cevahir AVM
I141256,C296800,Clothing,5,1500.4,04-06-2021,Kanyon
I731896,C267175,Cosmetics,1,40.66,20-06-2022,Mall of Istanbul
I323729,C126063,Clothing,3,900.24,03-03-2021,Kanyon
I415137,C120702,Cosmetics,2,81.32,18-12-2021,Mall of Istanbul
I101010,C766878,Clothing,2,600.16,07-03-2022,Emaar Square Mall
I247943,C268864,Shoes,4,2400.68,07-03-2023,Istinye Park
I222831,C268933,Technology,4,4200.0,30-10-2021,
I205457,C531137,Clothing,1,300.08,03-06-2022,Forum Istanbul
I833321,C522455,Clothing,4,1200.32,19-12-2021,Mall of Istanbul
I800283,C210436,Shoes,3,1800.51,20-02-2022,Cevahir AVM
I122135,C250953,Shoes,2,1200.34,13-12-2021,Forum Istanbul
I115580,C126382,Shoes,5,3000.85,08-05-2022,Metropol AVM
I168844,C543231,Clothing,2,600.16,28-04-2022,Mall of Istanbul
I276382,C973037,CLOTHING,4,1200.32,19-02-2022,Forum Istanbul
I281616,C111134,Technology,2,2100.0,2022-09-18,Kanyon
I198332,C319180,Clothing,3,900.24,10-22-2021,Istinye Park
I313721,C315397,Food & Beverage,5,26.15,13-02-2023,Metropol AVM
I174875,C123152,Books,4,60.6,09-09-2021,Mall of Istanbul
I195186,C297352,Clothing,3,900.24,07-01-2023,Mall of Istanbul
I101767,C181289,Food & Beverage,4,20.92,22-10-2022,Metropol AVM
I440800,C331534,Clothing,1,300.08,29-11-2021,Kanyon
I191201,C329503,shoes,3,1800.51,14-11-2021,Mall of Istanbul
I503012,C247239,Toys,0,143.36,06-11-2021,Kanyon
I299486,C546287,Food & Beverage,3,15.69,15-12-2021,Metrocity
I242040,C146257,Souvenir,3,35.19,18.02.2022,
I297643,C120055,Clothing,2,600.16,03-25-2022,Metropol AVM
I703821,C131408,  Food & Beverage  ,5,26.15,16-04-2022,
I347694,C150938,Souvenir,2,23.46,18-02-2023,Emaar Square Mall
I164496,C244365,Clothing,3,900.24,10-03-2021,Mall of Istanbul
I622365,C126832,Clothing,2,600.16,06-09-2022, MALL OF ISTANBUL 
